date	link	text
2018-05-04 14:28	https://newyork.craigslist.org/jsy/egr/d/mechanical-engineer/6579838135.html	Mechanical Engineer
2018-05-04 14:21	https://newyork.craigslist.org/jsy/egr/d/mechanical-engineer/6579829822.html	Mechanical Engineer
2018-05-04 14:18	https://newyork.craigslist.org/que/egr/d/civil-engineer-everest-usa/6579825789.html	Civil Engineer - Everest USA Corp
2018-05-04 11:47	https://newyork.craigslist.org/wch/egr/d/safety-superintendent-civil/6579641078.html	Safety Superintendent (Civil, Utility, Highway)
2018-05-04 11:42	https://newyork.craigslist.org/mnh/egr/d/junior-architect/6579636200.html	JUNIOR ARCHITECT
2018-05-04 09:07	https://newyork.craigslist.org/mnh/egr/d/mechanical-hvac-engineer/6579476174.html	Mechanical HVAC Engineer
2018-05-03 21:34	https://newyork.craigslist.org/mnh/egr/d/estimator-for-foundation-and/6579272767.html	Estimator for foundation and concrete superstructure
2018-05-03 21:03	https://newyork.craigslist.org/mnh/egr/d/sustainability-and/6579252526.html	Sustainability and Verification Specialist
2018-05-03 18:20	https://newyork.craigslist.org/brk/egr/d/vice-president-design/6579129012.html	Vice President, Design & Construction
2018-05-03 17:58	https://newyork.craigslist.org/mnh/egr/d/entry-level-designer-drafter/6579110034.html	Entry level designer/drafter
2018-05-03 16:50	https://newyork.craigslist.org/mnh/egr/d/junior-architect-2-5-years/6579045144.html	Junior Architect - 2 - 5 Years Experience
2018-05-03 14:39	https://newyork.craigslist.org/que/egr/d/field-assistant-on-the-job/6578902913.html	Field Assistant , On the Job Training, Land Surveying
2018-05-03 11:49	https://newyork.craigslist.org/mnh/egr/d/jr-estimator-quantity-surveyor/6578696695.html	JR Estimator/Quantity Surveyor
2018-05-03 11:31	https://newyork.craigslist.org/mnh/egr/d/cad-file-administrator/6578675852.html	CAD FILE ADMINISTRATOR
